trip_id,route_id,service_date,stop_id,stop_sequence,scheduled_time_iso,scheduled_time_epoch
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T04:17:00Z,1764044220
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T04:18:00Z,1764044280
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T04:20:00Z,1764044400
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T04:21:00Z,1764044460
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T04:21:00Z,1764044460
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T04:23:00Z,1764044580
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T04:27:00Z,1764044820
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T04:29:00Z,1764044940
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T04:31:00Z,1764045060
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T04:35:00Z,1764045300
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T04:38:00Z,1764045480
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T04:41:00Z,1764045660
trip_piccadilly_0414,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T04:45:00Z,1764045900
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T04:27:00Z,1764044820
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T04:28:00Z,1764044880
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T04:30:00Z,1764045000
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T04:31:00Z,1764045060
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T04:31:00Z,1764045060
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T04:33:00Z,1764045180
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T04:37:00Z,1764045420
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T04:39:00Z,1764045540
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T04:41:00Z,1764045660
trip_piccadilly_0424,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T04:44:00Z,1764045840
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T04:37:00Z,1764045420
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T04:38:00Z,1764045480
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T04:40:00Z,1764045600
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T04:41:00Z,1764045660
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T04:41:00Z,1764045660
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T04:43:00Z,1764045780
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T04:47:00Z,1764046020
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T04:49:00Z,1764046140
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T04:51:00Z,1764046260
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T04:55:00Z,1764046500
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T04:58:00Z,1764046680
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T05:01:00Z,1764046860
trip_piccadilly_0434,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T05:05:00Z,1764047100
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T04:47:00Z,1764046020
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T04:48:00Z,1764046080
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T04:50:00Z,1764046200
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T04:51:00Z,1764046260
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T04:51:00Z,1764046260
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T04:53:00Z,1764046380
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T04:57:00Z,1764046620
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T04:59:00Z,1764046740
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T05:01:00Z,1764046860
trip_piccadilly_0444,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T05:04:00Z,1764047040
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T04:57:00Z,1764046620
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T04:58:00Z,1764046680
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T05:00:00Z,1764046800
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T05:01:00Z,1764046860
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T05:01:00Z,1764046860
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T05:03:00Z,1764046980
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T05:07:00Z,1764047220
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T05:09:00Z,1764047340
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T05:11:00Z,1764047460
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T05:15:00Z,1764047700
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T05:18:00Z,1764047880
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T05:21:00Z,1764048060
trip_piccadilly_0454,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T05:25:00Z,1764048300
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T05:07:00Z,1764047220
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T05:08:00Z,1764047280
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T05:10:00Z,1764047400
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T05:11:00Z,1764047460
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T05:11:00Z,1764047460
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T05:13:00Z,1764047580
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T05:17:00Z,1764047820
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T05:19:00Z,1764047940
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T05:21:00Z,1764048060
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T05:25:00Z,1764048300
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T05:28:00Z,1764048480
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T05:31:00Z,1764048660
trip_piccadilly_0504,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T05:35:00Z,1764048900
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T05:17:00Z,1764047820
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T05:18:00Z,1764047880
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T05:20:00Z,1764048000
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T05:21:00Z,1764048060
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T05:21:00Z,1764048060
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T05:23:00Z,1764048180
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T05:27:00Z,1764048420
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T05:29:00Z,1764048540
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T05:31:00Z,1764048660
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T05:35:00Z,1764048900
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T05:38:00Z,1764049080
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T05:41:00Z,1764049260
trip_piccadilly_0514,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T05:45:00Z,1764049500
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T05:27:00Z,1764048420
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T05:28:00Z,1764048480
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUASL,2,2025-11-25T05:30:00Z,1764048600
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUFPK,3,2025-11-25T05:31:00Z,1764048660
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUFPK,4,2025-11-25T05:31:00Z,1764048660
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUMRH,5,2025-11-25T05:33:00Z,1764048780
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUTPN,6,2025-11-25T05:37:00Z,1764049020
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUWOG,7,2025-11-25T05:39:00Z,1764049140
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUBDS,8,2025-11-25T05:41:00Z,1764049260
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUASG,9,2025-11-25T05:45:00Z,1764049500
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUSGT,10,2025-11-25T05:48:00Z,1764049680
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUOAK,11,2025-11-25T05:51:00Z,1764049860
trip_piccadilly_0524,piccadilly,2025-11-25,940GZZLUCKS,12,2025-11-25T05:55:00Z,1764050100
trip_piccadilly_0534,piccadilly,2025-11-25,940GZZLUCAR,0,2025-11-25T05:37:00Z,1764049020
trip_piccadilly_0534,piccadilly,2025-11-25,940GZZLUHWY,1,2025-11-25T05:38:00Z,1764049080
