RouteID,BusID,Scheduled,Actual,DelayMin,Status
R101,B001,08:00,08:02,2,MINOR_DELAY
R101,B002,08:30,08:50,20,MAJOR_DELAY
R102,B003,08:15,08:15,0,ON_TIME
R103,B004,09:00,09:05,5,MINOR_DELAY
R101,B005,09:15,09:20,5,MINOR_DELAY
R101,B001,08:00,08:02,2,MINOR_DELAY
R101,B002,08:30,08:50,20,MAJOR_DELAY
R102,B003,08:15,08:15,0,ON_TIME
R103,B004,09:00,09:05,5,MINOR_DELAY
R101,B005,09:15,09:20,5,MINOR_DELAY
R101,B001,08:00,08:02,2,MINOR_DELAY
R101,B002,08:30,08:50,20,MAJOR_DELAY
R102,B003,08:15,08:15,0,ON_TIME
R103,B004,09:00,09:05,5,MINOR_DELAY
R101,B005,09:15,09:20,5,MINOR_DELAY
R101,B001,08:00,08:02,2,MINOR_DELAY
R101,B002,08:30,08:50,20,MAJOR_DELAY
R102,B003,08:15,08:15,0,ON_TIME
R103,B004,09:00,09:05,5,MINOR_DELAY
R101,B005,09:15,09:20,5,MINOR_DELAY
